name,director,actors,genre,other,year,link
National Lampoon's Christmas Vacation,Jeremiah S. Chechik,NA,Comedy,NA,1989,/wiki/National_Lampoon%27s_Christmas_Vacation
National Lampoon's European Vacation,Amy Heckerling,NA,Comedy,NA,1985,/wiki/National_Lampoon%27s_European_Vacation
National Lampoon's Gold Diggers,Gary Preisler,NA,Comedy,NA,2003,/wiki/National_Lampoon%27s_Gold_Diggers
National Lampoon's Joy of Sex,Martha Coolidge,NA,Comedy,NA,1984,/wiki/National_Lampoon%27s_Joy_of_Sex
National Lampoon's Last Resort,Rafal Zielenski,NA,Comedy,NA,1994,/wiki/National_Lampoon%27s_Last_Resort
National Lampoon's Senior Trip,Kelly Makin,NA,Comedy,NA,1995,/wiki/National_Lampoon%27s_Senior_Trip
National Lampoon's Vacation,Harold Ramis,NA,Comedy,NA,1983,/wiki/National_Lampoon%27s_Vacation
National Lampoon's Van Wilder,Walt Becker,NA,Comedy,NA,2002,/wiki/National_Lampoon%27s_Van_Wilder
National Lampoon's Van Wilder: The Rise of Taj,Mort Nathan,NA,Comedy,NA,2006,/wiki/National_Lampoon%27s_Van_Wilder:_The_Rise_of_Taj
National Security,Dennis Dugan,NA,Action comedy,NA,2003,/wiki/National_Security_(film)
National Treasure,Jon Turteltaub,NA,Adventure,Walt Disney Pictures,2004,/wiki/National_Treasure_(film)
National Treasure: Book of Secrets,Jon Turteltaub,NA,Adventure,NA,2007,/wiki/National_Treasure:_Book_of_Secrets
National Velvet,Clarence Brown,NA,Drama,NA,1944,/wiki/National_Velvet_(film)
Natural Born Killers,Oliver Stone,NA,Action,NA,1994,/wiki/Natural_Born_Killers
Naughty but Nice,Ray Enright,NA,Comedy,NA,1939,/wiki/Naughty_but_Nice_(1939_film)
Naughty Marietta,Robert Z. Leonard,NA,"Drama, Musical",NA,1935,/wiki/Naughty_Marietta_(film)
Navajo Kid,Harry Fraser,NA,Western,NA,1945,/wiki/Navajo_Kid
Navy Blue and Gold,Sam Wood,NA,NA,NA,1937,/wiki/Navy_Blue_and_Gold_(film)
Navy Blues,Lloyd Bacon,NA,Musical comedy,Warner Bros.,1941,/wiki/Navy_Blues_(1941_film)
Navy SEALs,Lewis Teague,NA,Action,NA,1990,/wiki/Navy_SEALs_(film)
Navy Wife,Allan Dwan,NA,Drama,NA,1935,/wiki/Navy_Wife_(1935_film)
Navy Wife,Edward Bernds,NA,Comedy,Allied Artists,1956,/wiki/Navy_Wife
Nazi Agent,Jules Dassin,NA,Spy thriller,MGM,1942,/wiki/Nazi_Agent
Neapolitan Mouse,NA,NA,NA,NA,1953,/wiki/Neapolitan_Mouse
Near Dark,Kathryn Bigelow,NA,Horror,Bigelow's second film,1987,/wiki/Near_Dark
Neath Brooklyn Bridge,Wallace Fox,NA,Comedy,Monogram,1942,/wiki/%27Neath_Brooklyn_Bridge
Necessary Roughness,Stan Dragoti,NA,Comedy,NA,1991,/wiki/Necessary_Roughness_(film)
Necromancer,Dusty Nelson,NA,Horror,NA,1988,/wiki/Necromancer_(1988_film)
Necromancy,Bert I. Gordon,NA,Horror,NA,1972,/wiki/Necromancy_(film)
Necromania,Ed Wood,NA,horror,NA,1971,/wiki/Necromania
Needful Things,Fraser Clarke Heston,NA,Drama,NA,1993,/wiki/Needful_Things
Negatives,Tony Smith,Duane Jones,Horror,NA,1988,/wiki/Negatives_(1988_film)
Negro Colleges in War Time,NA,NA,NA,NA,1943,/wiki/Negro_Colleges_in_War_Time
Neighbors,John G. Avildsen,NA,Comedy,NA,1981,/wiki/Neighbors_(1981_film)
Neil Young: Heart of Gold,Jonathan Demme,Neil Young,Concert,NA,2006,/wiki/Neil_Young:_Heart_of_Gold
Nell,Michael Apted,NA,Drama,NA,1994,/wiki/Nell_(film)
Nemesis,Albert Pyun,NA,Sci-fi,NA,1992,/wiki/Nemesis_(1992_film)
Neptune's Daughter,Edward Buzzell,NA,Musical,NA,1949,/wiki/Neptune%27s_Daughter_(1949_film)
Netherbeast Incorporated,Dean Ronalds,NA,Horror,NA,2007,/wiki/Netherbeast_Incorporated
Network,Sidney Lumet,NA,Drama,NA,1976,/wiki/Network_(film)
Nevada,Edward Killy,NA,Western,RKO,1944,/wiki/Nevada_(1944_film)
Nevada,Gary Tieche,NA,Drama,NA,1997,/wiki/Nevada_(1997_film)
Nevada Smith,Henry Hathaway,NA,Western,NA,1966,/wiki/Nevada_Smith
Never a Dull Moment,George Marshall,NA,Comedy,Based on a 1943 novel,1950,/wiki/Never_a_Dull_Moment_(1950_film)
Never a Dull Moment,Jerry Paris,NA,Crime comedy,Disney,1968,/wiki/Never_a_Dull_Moment_(1968_film)
Never Been Kissed,Raja Gosnell,NA,Comedy,Franco's first film,1999,/wiki/Never_Been_Kissed
Never Been Thawed,Sean Anders,"Sean Anders, Allen Zwolle, Shelly Frasier",Comedy,NA,2005,/wiki/Never_Been_Thawed
Never Cry Wolf,Carroll Ballard,NA,Drama,Disney,1983,/wiki/Never_Cry_Wolf_(film)
Never Die Alone,Ernest R. Dickerson,NA,Crime drama,NA,2004,/wiki/Never_Die_Alone
Never Fear,Ida Lupino,NA,Drama,Eagle-Lion,1949,/wiki/Never_Fear
Never Give a Sucker an Even Break,Edward Cline,NA,Comedy,Universal,1941,/wiki/Never_Give_a_Sucker_an_Even_Break
Never Let Me Go,Delmer Daves,NA,Adventure,MGM,1953,/wiki/Never_Let_Me_Go_(1953_film)
Never Let Me Go,Mark Romanek,NA,Drama,NA,2010,/wiki/Never_Let_Me_Go_(2010_film)
Never on Sunday,Jules Dassin,NA,Drama,NA,1960,/wiki/Never_on_Sunday
Never on Tuesday,Adam Rifkin,NA,Comedy,NA,1989,NA
Never Say Die,Elliott Nugent,NA,Romantic comedy,NA,1939,/wiki/Never_Say_Die_(1939_film)
Never Say Goodbye,James Kern,NA,Romantic comedy,Warner Bros.,1946,/wiki/Never_Say_Goodbye_(1946_film)
Never Say Goodbye,Jerry Hopper,NA,Romance,Universal,1956,/wiki/Never_Say_Goodbye_(1956_film)
Never So Few,John Sturges,NA,War drama,MGM,1959,/wiki/Never_So_Few
Never Steal Anything Small,Charles Lederer,NA,Drama,Universal,1959,/wiki/Never_Steal_Anything_Small
Never Talk to Strangers,Peter Hall,NA,Thriller,NA,1995,/wiki/Never_Talk_to_Strangers
Never the Twain Shall Meet,W.S. Van Dyke,NA,Drama,NA,1931,/wiki/Never_the_Twain_Shall_Meet
Never Too Late,Bud Yorkin,NA,Comedy,Warner Bros.,1965,/wiki/Never_Too_Late_(1965_film)
Never Trust a Gambler,Ralph Murphy,NA,Crime,Columbia,1951,/wiki/Never_Trust_a_Gambler
Never Wave at a WAC,Norman Z. McLeod,NA,Comedy,RKO,1953,/wiki/Never_Wave_at_a_WAC
Neverwas,Joshua Michael Stern,NA,Drama,NA,2005,/wiki/Neverwas
New Best Friend,Zoe Clarke-Williams,NA,Thriller,NA,2002,/wiki/New_Best_Friend
New Frontier,George Sherman,NA,Western,NA,1939,/wiki/New_Frontier_(film)
New Jack City,Mario Van Peebles,NA,Crime drama,Warner Bros.,1991,/wiki/New_Jack_City
New Jersey Drive,Nick Gomez,"Sharron Corley, Gabriel Casseus",Drama,NA,1995,/wiki/New_Jersey_Drive
New Mexico,Irving Reis,NA,Western,United Artists,1951,/wiki/New_Mexico_(film)
New Moon,Jack Conway,NA,Musical drama,MGM,1940,/wiki/New_Moon_(1940_film)
New Moon,Chris Weitz,NA,"Fantasy, Romance",NA,2009,/wiki/New_Moon_(2009_film)
New Morals for Old,Charles Brabin,NA,Romance,MGM,1932,/wiki/New_Morals_for_Old
New Movietone Follies of 1930,Benjamin Stoloff,NA,Musical,NA,1930,/wiki/New_Movietone_Follies_of_1930
New Orleans Uncensored,William Castle,NA,Drama,Columbia,1955,/wiki/New_Orleans_Uncensored
New Rose Hotel,Abel Ferrara,NA,Thriller,NA,1998,/wiki/New_Rose_Hotel_(film)
New York Confidential,Russell Rouse,NA,Crime drama,Warner Bros.,1955,/wiki/New_York_Confidential_(film)
New York Doll,Greg Whiteley,NA,Documentary,NA,2005,/wiki/New_York_Doll
New York Minute,Dennie Gordon,NA,Comedy,NA,2004,/wiki/New_York_Minute_(film)
New York Stories,NA,NA,Anthology,3 short films,1989,/wiki/New_York_Stories
New York Town,Charles Vidor,NA,Romantic comedy,Paramount,1941,/wiki/New_York_Town
"New York, I Love You",10 directors,NA,NA,Vivendi Entertainment,2009,"/wiki/New_York,_I_Love_You"
"New York, New York",Martin Scorsese,NA,Musical,NA,1977,"/wiki/New_York,_New_York_(1977_film)"
Newman's Law,Richard T. Heffron,NA,Crime,NA,1974,/wiki/Newman%27s_Law
News Is Made at Night,Alfred L. Werker,NA,Comedy,20th Century Fox,1939,/wiki/News_Is_Made_at_Night
Newsies,Kenny Ortega,NA,Musical,NA,1992,/wiki/Newsies
Next,Lee Tamahori,NA,Science fiction,NA,2007,/wiki/Next_(2007_film)
Next Day Air,Benny Boom,NA,"Comedy, Crime",Summit Entertainment,2009,/wiki/Next_Day_Air
Next Friday,Steve Carr,NA,Comedy,NA,2000,/wiki/Next_Friday
Next of Kin,John Irvin,NA,Crime drama,Warner Bros.,1989,/wiki/Next_of_Kin_(1989_film)
Next Stop Wonderland,Brad Anderson,NA,Comedy,NA,1998,/wiki/Next_Stop_Wonderland
"Next Stop, Greenwich Village",Paul Mazursky,NA,"Comedy, Drama",NA,1976,"/wiki/Next_Stop,_Greenwich_Village"
Next Time I Marry,Garson Kanin,NA,Comedy,RKO,1938,/wiki/Next_Time_I_Marry
Next Time We Love,Edward H. Griffith,NA,"Drama, Romance",Universal,1936,/wiki/Next_Time_We_Love
Niagara,Henry Hathaway,NA,Suspense,20th Century Fox,1953,/wiki/Niagara_(1953_film)
Niagara Falls,Gordon Douglas,NA,Comedy,NA,1941,/wiki/Niagara_Falls_(1941_film)
"Niagara, Niagara",Bob Gosse,NA,Drama,NA,1997,"/wiki/Niagara,_Niagara"
Nice Dreams,Tommy Chong,NA,Comedy,Columbia,1981,/wiki/Nice_Dreams
Nice Girl?,William A. Seiter,NA,Musical,Universal,1941,/wiki/Nice_Girl%3F
Nicholas Nickleby,Douglas McGrath,NA,Drama,NA,2002,/wiki/Nicholas_Nickleby_(2002_film)
Nick and Norah's Infinite Playlist,Peter Sollett,NA,Comedy,NA,2008,/wiki/Nick_and_Norah%27s_Infinite_Playlist
"Nick Carter, Master Detective",Jacques Tourneur,NA,Crime,MGM,1939,"/wiki/Nick_Carter,_Master_Detective_(film)"
Nick Knight,NA,Rick Springfield,Drama,TV,1989,/wiki/Nick_Knight_(film)
Nick of Time,John Badham,NA,Suspense,NA,1995,/wiki/Nick_of_Time_(film)
Nickelodeon,Peter Bogdanovich,NA,Comedy,Columbia,1976,/wiki/Nickelodeon_(film)
Night After Night,Archie Mayo,NA,Comedy drama,Paramount,1932,/wiki/Night_After_Night_(film)
Night and Day,Michael Curtiz,NA,"Musical, Biography",NA,1946,/wiki/Night_and_Day_(1946_film)
Night and the City,Jules Dassin,NA,Film noir,20th Century Fox,1950,/wiki/Night_and_the_City
Night and the City,Irwin Winkler,NA,Drama,NA,1992,/wiki/Night_and_the_City_(1992_film)
Night at the Golden Eagle,Adam Rifkin,NA,Drama,NA,2002,/wiki/Night_at_the_Golden_Eagle
Night at the Museum,Shawn Levy,NA,Fantasy,NA,2006,/wiki/Night_at_the_Museum
Night at the Museum: Battle of the Smithsonian,Shawn Levy,NA,"Adventure, Family",NA,2009,/wiki/Night_at_the_Museum:_Battle_of_the_Smithsonian
Night Catches Us,Tanya Hamilton,NA,Drama,Magnolia Pictures,2010,/wiki/Night_Catches_Us
Night Club Scandal,Ralph Murphy,NA,Drama,NA,1937,/wiki/Night_Club_Scandal
Night Court,W. S. Van Dyke,NA,"Drama, Crime",MGM,1932,/wiki/Night_Court_(film)
Night Crossing,Delbert Mann,NA,Drama,Mann's final film,1982,/wiki/Night_Crossing
Night Editor,Henry Levin,NA,Film noir,Columbia,1946,/wiki/Night_Editor
Night Eyes,Jag Mundhra,NA,Drama,NA,1990,/wiki/Night_Eyes
Night Falls on Manhattan,Sidney Lumet,NA,Crime drama,NA,1997,/wiki/Night_Falls_on_Manhattan
Night Flight,Clarence Brown,NA,Drama,NA,1933,/wiki/Night_Flight_(1933_film)
Night Game,Peter Masterson,NA,Crime drama,NA,1989,/wiki/Night_Game_(film)
Night Has a Thousand Eyes,John Farrow,NA,Film noir,Paramount,1948,/wiki/Night_Has_a_Thousand_Eyes
Night in New Orleans,William Clemens,NA,Drama,NA,1942,/wiki/Night_in_New_Orleans
Night in Paradise,Arthur Lubin,NA,"Comedy, Drama",Universal,1946,/wiki/Night_in_Paradise
Night into Morning,Fletcher Markle,NA,Drama,MGM,1951,/wiki/Night_into_Morning
Night Key,Lloyd Corrigan,NA,"Drama, Crime",NA,1937,/wiki/Night_Key
Night Life of the Gods,Lowell Sherman,NA,"Comedy, Fantasy",NA,1935,/wiki/Night_Life_of_the_Gods
Night Monster,Ford Beebe,Bela Lugosi,NA,Universal,1942,/wiki/Night_Monster
Night Moves,Arthur Penn,NA,Mystery,Warner Bros.,1975,/wiki/Night_Moves_(1975_film)
Night Must Fall,Richard Thorpe,NA,Drama,MGM,1937,/wiki/Night_Must_Fall_(1937_film)
Night Nurse,William A. Wellman,NA,Drama,NA,1931,/wiki/Night_Nurse_(1931_film)
Night of Dark Shadows,Dan Curtis,NA,mystery,NA,1971,/wiki/Night_of_Dark_Shadows
Night of Mystery,E.A. Dupont,NA,Mystery,Paramount,1937,/wiki/Night_of_Mystery
Night of Terror,Benjamin Stoloff,NA,Horror,NA,1933,/wiki/Night_of_Terror
Night Of The Axe,Walter Cherry,NA,Horror,NA,1994,/w/index.php?title=Night_Of_The_Axe&action=edit&redlink=1
Night of the Comet,Thom Eberhardt,NA,Sci-fi,NA,1984,/wiki/Night_of_the_Comet
Night of the Creeps,Fred Dekker,NA,Horror comedy,NA,1986,/wiki/Night_of_the_Creeps
Night of the Demon,James C. Wasson,NA,Horror,NA,1980,/wiki/Night_of_the_Demon_(1980_film)
Night of the Demons 3,NA,NA,Horror,NA,1997,/wiki/Night_of_the_Demons_3
Night of the Ghouls,Ed Wood,NA,Horror,NA,1959,/wiki/Night_of_the_Ghouls
Night of the Lepus,William F. Claxton,NA,Horror,MGM,1972,/wiki/Night_of_the_Lepus
Night of the Living Dead,George A. Romero,NA,Horror,NA,1968,/wiki/Night_of_the_Living_Dead
Night of the Living Dead,Tom Savini,Tony Todd,Horror,remake of 1968 film,1990,/wiki/Night_of_the_Living_Dead_(1990_film)
Night of the Living Dead 3D,Jeff Broadstreet,Brianna Brown,Horror,NA,2006,/wiki/Night_of_the_Living_Dead_3D
Night of the Ninja,NA,NA,Drama,NA,1989,/wiki/Night_of_the_Ninja
Night of the Quarter Moon,Hugo Haas,NA,Drama,MGM,1959,/wiki/Night_of_the_Quarter_Moon
Night on Earth,Jim Jarmusch,NA,Comedy,NA,1991,/wiki/Night_on_Earth
Night Passage,James Neilson,NA,Western,Universal,1957,/wiki/Night_Passage_(film)
Night Patrol,Jackie Kong,NA,Comedy,NA,1984,/wiki/Night_Patrol
Night People,Nunnally Johnson,NA,Drama,20th Century Fox,1954,/wiki/Night_People_(film)
Night Plane from Chungking,Ralph Murphy,Robert Preston,War drama,Paramount,1942,/wiki/Night_Plane_from_Chungking
Night Riders of Montana,Fred C. Brannon,NA,Western,Republic,1951,/wiki/Night_Riders_of_Montana
Night Shift,Ron Howard,NA,Comedy,Warner Bros.,1982,/wiki/Night_Shift_(film)
Night Song,John Cromwell,NA,Drama,RKO,1948,/wiki/Night_Song_(film)
Night Tide,Curtis Harrington,NA,Fantasy,A.I.P.,1961,/wiki/Night_Tide
Night Unto Night,Don Siegel,NA,Drama,Warner Bros.,1949,/wiki/Night_Unto_Night
Night Waitress,Lew Landers,NA,"Drama, Crime",NA,1936,/wiki/Night_Waitress
Night Warning,Bill Asher,NA,Horror,NA,1983,/wiki/Night_Warning
Night Watch,David Jackson,NA,Action,TV,1995,/wiki/Night_Watch_(1995_film)
Night Work,George Archainbaud,NA,Comedy,NA,1939,/wiki/Night_Work_(film)
Night World,Hobart Henley,NA,Drama,Universal,1932,/wiki/Night_World_(1932_film)
"night, Mother",Tom Moore,NA,Drama,NA,1986,"/wiki/%27night,_Mother_(film)"
Nightbreed,Clive Barker,Craig Sheffer,Horror,NA,1990,/wiki/Nightbreed
Nightfall,Jacques Tourneur,NA,Film noir,Columbia,1957,/wiki/Nightfall_(1957_film)
Nighthawks,Bruce Malmuth,NA,Crime drama,NA,1981,/wiki/Nighthawks_(film)
Nightkill,Ted Post,NA,Thriller,NA,1980,/wiki/Nightkill
Nightmare,Tim Whelan,NA,Suspense,NA,1942,/wiki/Nightmare_(1942_film)
Nightmare,Maxwell Shane,NA,Film noir,United Artists,1956,/wiki/Nightmare_(1956_film)
Nightmare Alley,Edmond Goulding,NA,Film noir,NA,1947,/wiki/Nightmare_Alley_(film)
Nightmare at Bittercreek,Tim Burstall,NA,Drama,NA,1988,/wiki/Nightmare_at_Bittercreek
Nightmare Honeymoon,Elliot Silverstein,NA,Thriller,MGM,1974,/wiki/Nightmare_Honeymoon
Nightmare in the Sun,John Derek,NA,Crime drama,Zodiac Films,1965,/wiki/Nightmare_in_the_Sun
Nightmare in Wax,Bud Townsend,Cameron Mitchell,Horror,NA,1969,/wiki/Nightmare_in_Wax
Nightmare Man,Rolfe Kanefsky,Gwen Davis,Horror,NA,2006,/wiki/Nightmare_Man_(2006_film)
Nightmares,Joseph Sargent,NA,Horror,NA,1983,/wiki/Nightmares_(1983_film)
Nights in Rodanthe,George C. Wolfe,NA,Romance,NA,2008,/wiki/Nights_in_Rodanthe_(film)
Nightwatch,Ole Bornedahl,NA,Thriller,NA,1997,/wiki/Nightwatch_(1997_film)
Nightwing,Arthur Hiller,NA,Horror,Columbia,1979,/wiki/Nightwing_(film)
Nightwish,Bruce R. Cook,NA,Horror,NA,1989,/w/index.php?title=Nightwish_(film)&action=edit&redlink=1
Nijinsky,Herbert Ross,NA,Biography,NA,1980,/wiki/Nijinsky_(film)
Nim's Island,NA,NA,Adventure,NA,2008,/wiki/Nim%27s_Island
Nine,Rob Marshall,NA,Musical,The Weinstein Company,2009,/wiki/Nine_(2009_live-action_film)
Nine Hours to Rama,Mark Robson,NA,Drama,NA,1963,/wiki/Nine_Hours_to_Rama
Nine Lives Are Not Enough,A. Edward Sutherland,NA,Drama,Warner Bros.,1941,/wiki/Nine_Lives_Are_Not_Enough
Nine Months,Chris Columbus,NA,Romantic comedy,NA,1995,/wiki/Nine_Months
Nine to Five,Colin Higgins,NA,Comedy,"became TV series, Broadway show; screen debut of Dolly Parton, hit song for Parton",1980,/wiki/9_to_5_(film)
Ninja Academy,NA,Will Egan,Martial arts,NA,1990,/wiki/Ninja_Academy
Ninja Assassin,James McTeigue,NA,NA,NA,2009,/wiki/Ninja_Assassin
Ninja III: The Domination,Sam Firstenberg,NA,Action,NA,1984,/wiki/Ninja_III:_The_Domination
Ninja Strike Force,NA,NA,Action,NA,1988,/wiki/Ninja_Strike_Force
Ninotchka,Ernst Lubitsch,NA,Romantic comedy,NA,1939,/wiki/Ninotchka
Ninth Street,Tim Rebman,Don Washington,Drama,NA,1999,/wiki/Ninth_Street
Nit-Witty Kitty,Hanna-Barbera,Tom and Jerry,Animation,NA,1951,/wiki/Nit-Witty_Kitty
Nitrate Kisses,Barbara Hammer,Barbara Hammer,Documentary,NA,1992,/wiki/Nitrate_Kisses
Nixon,Oliver Stone,NA,Biography,NA,1995,/wiki/Nixon_(film)
"No Census, No Feeling",Del Lord,The Three Stooges,NA,NA,1940,"/wiki/No_Census,_No_Feeling"
No Country for Old Men,Joel and Ethan Coen,NA,Crime drama,NA,2007,/wiki/No_Country_for_Old_Men_(film)
"No Deposit, No Return",Norman Tokar,NA,Comedy,Buena Vista Films,1976,"/wiki/No_Deposit,_No_Return"
"No Dessert, Dad, till You Mow the Lawn",Howard McCain,NA,Comedy,NA,1994,"/wiki/No_Dessert,_Dad,_till_You_Mow_the_Lawn"
No Direction Home,Martin Scorsese,NA,Documentary,NA,2005,/wiki/No_Direction_Home
No Dough Boys,Jules White,Three Stooges,NA,Columbia,1944,/wiki/No_Dough_Boys
No End in Sight,Charles H. Ferguson,NA,Documentary,NA,2007,/wiki/No_End_in_Sight
No Escape,Charles Bennett,NA,Drama,NA,1953,/wiki/No_Escape_(1953_film)
No Escape,Martin Campbell,NA,Science fiction,based on Richard Herley novel,1994,/wiki/No_Escape_(1994_film)
No Exit,Tad Danielewski,NA,Drama,NA,1962,/wiki/No_Exit_(1962_film)
No Exit,Damian Lee,Jeff Wincott,Action,NA,1995,/wiki/No_Exit_(1995_film)
No Hands on the Clock,Frank McDonald,NA,Crime,Paramount,1941,/wiki/No_Hands_on_the_Clock
No Holds Barred,Thomas Wright,NA,Comedy,NA,1989,/wiki/No_Holds_Barred_(1989_film)
"No Leave, No Love",Charles Martin,NA,Musical,MGM,1946,"/wiki/No_Leave,_No_Love"
No Limit,"Brian O'Hare, Timothy Rhys",NA,Documentary,NA,2006,/wiki/No_Limit_(2006_film)
No Living Witness,E. Mason Hopper,NA,Drama,NA,1932,/w/index.php?title=No_Living_Witness&action=edit&redlink=1
No Looking Back,Edward Burns,NA,Drama,NA,1998,/wiki/No_Looking_Back_(1998_film)
No Man Is an Island,Richard Goldstone,Jeffrey Hunter,Drama,Universal,1962,/wiki/No_Man_Is_an_Island_(film)
No Man of Her Own,Wesley Ruggles,NA,Drama,Paramount,1932,/wiki/No_Man_of_Her_Own_(1932_film)
No Man of Her Own,Mitchell Leisen,NA,Film noir,NA,1950,/wiki/No_Man_of_Her_Own
No Man's Land,Peter Werner,NA,Crime drama,Orion,1987,/wiki/No_Man%27s_Land_(1987_film)
No Mercy,Richard Pearce,NA,Crime drama,TriStar,1986,/wiki/No_Mercy_(film)
No Minor Vices,Lewis Milestone,NA,Romance,MGM,1948,/wiki/No_Minor_Vices
No More Ladies,NA,NA,"Comedy, Romance",NA,1935,/wiki/No_More_Ladies
No More Orchids,Walter Lang,NA,Romance,NA,1932,/wiki/No_More_Orchids
No Name on the Bullet,Jack Arnold,NA,Western,Universal,1959,/wiki/No_Name_on_the_Bullet
No One Man,Lloyd Corrigan,NA,Drama,Paramount,1932,/wiki/No_One_Man
No Orchids for Miss Blandish,St. John Leigh Clowes,NA,Drama,RKO,1948,/wiki/No_Orchids_for_Miss_Blandish_(film)
No Other Woman,J. Walter Ruben,NA,Romance,NA,1933,/wiki/No_Other_Woman_(1933_film)
No Place for a Lady,James P. Hogan,NA,Mystery,Columbia,1943,/wiki/No_Place_for_a_Lady
No Place to Go,Terry O. Morse,NA,Comedy,NA,1939,/wiki/No_Place_to_Go_(1939_film)
No Questions Asked,Harold F. Kress,NA,Crime,MGM,1951,/wiki/No_Questions_Asked_(film)
No Reservations,Scott Hicks,NA,Romantic comedy,NA,2007,/wiki/No_Reservations_(film)
"No Retreat, No Surrender",Corey Yuen,Jean-Claude Van Damme,Action,NA,1986,"/wiki/No_Retreat,_No_Surrender"
"No Retreat, No Surrender 2",Corey Yuen,Loren Avedon,Martial arts,sequel,1988,"/wiki/No_Retreat,_No_Surrender_2"
"No Retreat, No Surrender 3: Blood Brothers",Lucas Lowe,Loren Avedon,Action,sequel,1990,"/wiki/No_Retreat,_No_Surrender_3:_Blood_Brothers"
No Room for the Groom,Douglas Sirk,NA,Comedy,Universal,1952,/wiki/No_Room_for_the_Groom
No Sad Songs for Me,Rudolph Mate,NA,Drama,NA,1950,/wiki/No_Sad_Songs_for_Me
No Small Affair,Jerry Schatzberg,NA,Comedy,Columbia,1984,/wiki/No_Small_Affair
No Smoking,Jack Kinney,Goofy,Animation,NA,1951,/wiki/No_Smoking_(short_film)
No Strings Attached,Ivan Reitman,NA,Romantic comedy,Paramount Pictures,2011,/wiki/No_Strings_Attached_(film)
No Time for Comedy,William Keighley,NA,Comedy,NA,1940,/wiki/No_Time_for_Comedy
No Time for Flowers,Don Siegel,NA,Drama,NA,1952,/wiki/No_Time_for_Flowers
No Time for Love,Mitchell Leisen,NA,Comedy,Paramount,1943,/wiki/No_Time_for_Love_(1943_film)
No Time for Sergeants,Mervyn LeRoy,NA,Comedy,NA,1958,/wiki/No_Time_for_Sergeants
No Time to Be Young,David Lowell Rich,NA,Drama,Columbia,1957,/wiki/No_Time_to_Be_Young
No Way Out,Joseph L. Mankiewicz,NA,Film noir,NA,1950,/wiki/No_Way_Out_(1950_film)
No Way Out,Roger Donaldson,NA,Thriller,NA,1987,/wiki/No_Way_Out_(1987_film)
No Way to Treat a Lady,Jack Smight,NA,Thriller,NA,1968,/wiki/No_Way_to_Treat_a_Lady_(film)
"No, No, Nanette",Clarence G. Badger,NA,Musical,NA,1930,"/wiki/No,_No,_Nanette_(1930_film)"
Nob Hill,Henry Hathaway,NA,Drama,20th Century Fox,1945,/wiki/Nob_Hill_(1945_film)
Nobel Son,Randall Miller,NA,Drama,NA,2007,/wiki/Nobel_Son
Nobody Lives Forever,Jean Negulesco,NA,Film noir,Warner Bros.,1946,/wiki/Nobody_Lives_Forever_(1946_film)
Nobody Runs Forever,Ralph Thomas,NA,Drama,Cinerama Releasing Corp.,1968,/wiki/Nobody_Runs_Forever
Nobody's Baby,Gus Meins,NA,Comedy,NA,1937,/wiki/Nobody%27s_Baby
Nobody's Darling,Anthony Mann,NA,Musical,Republic,1943,/wiki/Nobody%27s_Darling
Nobody's Fool,Evelyn Purcell,NA,Comedy,NA,1986,/wiki/Nobody%27s_Fool_(1986_film)
Nobody's Fool,Robert Benton,NA,Comedy,NA,1994,/wiki/Nobody%27s_Fool_(1994_film)
Nobody's Perfect,Alan Rafkin,NA,Comedy,NA,1968,/wiki/Nobody%27s_Perfect_(1968_film)
Nobody's Perfekt,Peter Bonerz,NA,Comedy,Columbia,1981,/wiki/Nobody%27s_Perfekt
Nocturne,Edwin L. Marin,NA,Film noir,RKO,1946,/wiki/Nocturne_(1946_film)
Noel,Chazz Palminteri,NA,Drama,NA,2004,/wiki/Noel_(film)
Noises Off,Peter Bogdanovich,NA,Comedy,NA,1992,/wiki/Noises_Off_(film)
Nomads,John McTiernan,NA,Horror,NA,1986,/wiki/Nomads_(1986_film)
None But The Brave,Frank Sinatra,NA,War drama,NA,1965,/wiki/None_But_The_Brave
None But the Lonely Heart,Clifford Odets,NA,Drama,NA,1944,/wiki/None_but_the_Lonely_Heart_(film)
Noon Wine,Michael Fields,NA,Drama,NA,1985,/wiki/Noon_Wine
Noose,Edmund Greville,NA,Suspense,NA,1948,/wiki/Noose_(film)
Noose for a Gunman,Edward L. Cahn,NA,Western,United Artists,1960,/wiki/Noose_for_a_Gunman
Nora Prentiss,Vincent Sherman,NA,Drama,Warner Bros.,1947,/wiki/Nora_Prentiss
Norbit,Brian Robbins,NA,Comedy,DreamWorks Pictures,2007,/wiki/Norbit
Norma Jean & Marilyn,Tim Fywell,NA,Biography,NA,1996,/wiki/Norma_Jean_%26_Marilyn
Norma Rae,Martin Ritt,NA,Drama,NA,1979,/wiki/Norma_Rae
Normal Adolescent Behavior,Beth Schacter,NA,Drama,NA,2007,/wiki/Normal_Adolescent_Behavior
North,Rob Reiner,NA,"Comedy, Fantasy",NA,1994,/wiki/North_(1994_film)
North by Northwest,Alfred Hitchcock,NA,Suspense,NA,1959,/wiki/North_by_Northwest
North Country,Niki Caro,NA,Drama,based on book by Clara Bingham and Laura Leedy Gansler,2005,/wiki/North_Country_(film)
North Dallas Forty,Ted Kotcheff,NA,NA,NA,1979,/wiki/North_Dallas_Forty_(film)
North of the Great Divide,William Witney,NA,Western,Republic,1950,/wiki/North_of_the_Great_Divide
